# key	chinese
# column1 = match order, column2 = A-column Chinese
AOI21AOI21	复合逻辑门
AOI21OAI21	复合逻辑门
AOI22AOI21	复合逻辑门
AOI22AOI22	复合逻辑门
AOI22OAI21	复合逻辑门
MB2LHSPCNQ	多比特锁存器
MB2LNSPCNQ	多比特锁存器
OAI21AOI21	复合逻辑门
OAI21AOI22	复合逻辑门
OAI21OAI21	复合逻辑门
OAI22AOI21	复合逻辑门
OAI22OAI21	复合逻辑门
AOI211INV	复合逻辑门
INVAAOI21	复合逻辑门
INVAOAI21	复合逻辑门
INVBAOI21	复合逻辑门
INVBOAI21	复合逻辑门
MB2SRLSDF	多比特触发器
MB4SRLSDF	多比特触发器
MCESNQSYN	多比特同步器
OAI211INV	复合逻辑门
WAO21OA21	复合逻辑门
WAO22OA22	复合逻辑门
XNR2AOI21	复合逻辑门
XNR2AOI22	复合逻辑门
XNR2OAI21	复合逻辑门
XNR2OAI22	复合逻辑门
XOR2AOI21	复合逻辑门
XOR2AOI22	复合逻辑门
XOR2OAI21	复合逻辑门
XOR2OAI22	复合逻辑门
AOI21ND2	复合逻辑门
AOI21NR2	复合逻辑门
AOI22INV	复合逻辑门
AOI22ND2	复合逻辑门
AOI22NR2	复合逻辑门
BOUNDARY	边界/版图单元
MB2LHCNQ	多比特锁存器
MB2LNCNQ	多比特锁存器
MUX2NND2	复合多路选择器
MUX2NNR2	复合多路选择器
ND2AOI21	复合逻辑门
ND2IOA21	复合逻辑门
ND2OAI21	复合逻辑门
NR2AOI21	复合逻辑门
OAI21ND2	复合逻辑门
OAI21NR2	复合逻辑门
OAI22INV	复合逻辑门
OAI22ND2	复合逻辑门
OAI22NR2	复合逻辑门
SDFSYNC1	同步触发器
SYNLHCNQ	同步器
SYNLHRPQ	同步器
SYNLHSNQ	同步器
XNR2XNR2	复合逻辑门
XNR2XOR2	复合逻辑门
XOR2XNR2	复合逻辑门
XOR2XOR2	复合逻辑门
ANTENNA	天线二极管
AOAI211	复合逻辑门
AOI2111	与或非门
AOI2211	与或非门
AOI2221	与或非门
AOI2222	与或非门
BENCGRF	编码器
CKLNCNQ	时钟锁存器
CKLVLLH	电平转换器
FCSICON	进位逻辑
GAOI211	与或非门
GDCAP10	去耦电容
GDCAP12	去耦电容
GFILL10	填充单元
GFILL11	填充单元
GFILL12	填充单元
GLAHRNQ	锁存器
GOAI211	或与非门
HDDICWY	边界/版图单元
MAOI222	复合逻辑门
MUX2AOI	复合多路选择器
MUX2ND2	复合多路选择器
MUX2NR2	复合多路选择器
OAI2111	或与非门
OAI2211	或与非门
OAI2221	或与非门
OAI2222	或与非门
OAOI211	复合逻辑门
TAPCELL	阱敲击单元
W2AOI22	复合逻辑门
WAN2OR2	复合逻辑门
XNR2ND2	复合逻辑门
XNR2NR2	复合逻辑门
XOR2ND2	复合逻辑门
XOR2NR2	复合逻辑门
AIOI21	复合逻辑门
AOI211	与或非门
AOI221	与或非门
AOI222	与或非门
AOI311	与或非门
AOI321	与或非门
APTIEH	电平钳位
APTIEL	电平钳位
CKMUX2	时钟多路选择器
CKXOR2	时钟异或门
CMPE32	压缩器
CMPE42	压缩器
DCAP10	去耦电容
DCAP16	去耦电容
DCAP20	去耦电容
DCAP32	去耦电容
DCAP40	去耦电容
DCAP64	去耦电容
FCICON	进位逻辑
FCONSN	进位逻辑
FIICON	进位逻辑
FILL12	填充单元
FILL16	填充单元
FILL32	填充单元
FILL64	填充单元
GAOI21	与或非门
GAOI22	与或非门
GAOI31	与或非门
GAOI32	与或非门
GAOI33	与或非门
GCKLNQ	时钟锁存器
GDCAP2	去耦电容
GDCAP4	去耦电容
GDCAP6	去耦电容
GDCAP8	去耦电容
GFILL1	填充单元
